County,Precinct,Office,District,Party,Candidate,Votes
Bergen,Hackensack W5 D2 - Election Day,President,,,Registration,736
Bergen,Hackensack W5 D3 - Election Day,President,,,Registration,869
Bergen,Hackensack W5 D4 - Election Day,President,,,Registration,829
Bergen,Hackensack W5 D5 - Election Day,President,,,Registration,714
Bergen,Hackensack W5 D6 - Election Day,President,,,Registration,1082
Bergen,Hackensack Mail-In Ballot - Mail-In,President,,,Registration,0
Bergen,Hackensack Provisional - Provisio,President,,,Registration,0
Bergen,Harrington Park 1 - Election Day,President,,,Registration,1058
Bergen,Harrington Park 2 - Election Day,President,,,Registration,1242
Bergen,Harrington Park 3 - Election Day,President,,,Registration,1210
Bergen,Harrington Park Mail-In Ballot - Ma,President,,,Registration,0
Bergen,Harrington Park Provisional - Prov,President,,,Registration,0
Bergen,Hasbrouck Heights 1 - Election Da,President,,,Registration,908
Bergen,Hasbrouck Heights 2 - Election Da,President,,,Registration,1056
Bergen,Hasbrouck Heights 3 - Election Da,President,,,Registration,851
Bergen,Hasbrouck Heights 4 - Election Da,President,,,Registration,973
Bergen,Hasbrouck Heights 5 - Election Da,President,,,Registration,835
Bergen,Hasbrouck Heights 6 - Election Da,President,,,Registration,892
Bergen,Hasbrouck Heights 7 - Election Da,President,,,Registration,900
Bergen,Hasbrouck Heights 8 - Election Da,President,,,Registration,1029
Bergen,Hasbrouck Heights 9 - Election Da,President,,,Registration,675
Bergen,Hasbrouck Heights Mail-In Ballot -,President,,,Registration,0
Bergen,Hasbrouck Heights Provisional - P,President,,,Registration,0
Bergen,Haworth 1 - Election Day,President,,,Registration,1326
Bergen,Haworth 2 - Election Day,President,,,Registration,1239
Bergen,Haworth Mail-In Ballot - Mail-In Ba,President,,,Registration,0
Bergen,Haworth Provisional - Provisional,President,,,Registration,0
Bergen,Hillsdale 1 - Election Day,President,,,Registration,1062
Bergen,Hillsdale 2 - Election Day,President,,,Registration,946
Bergen,Hillsdale 3 - Election Day,President,,,Registration,1391
Bergen,Hillsdale 4 - Election Day,President,,,Registration,1428
Bergen,Hillsdale 5 - Election Day,President,,,Registration,1416
Bergen,Hillsdale 6 - Election Day,President,,,Registration,1525
Bergen,Hillsdale Mail-In Ballot - Mail-In Ba,President,,,Registration,0
Bergen,Hillsdale Provisional - Provisional,President,,,Registration,0
Bergen,Ho-Ho-Kus 1 - Election Day,President,,,Registration,1108
Bergen,Ho-Ho-Kus 2 - Election Day,President,,,Registration,1154
Bergen,Ho-Ho-Kus 3 - Election Day,President,,,Registration,972
Bergen,Ho-Ho-Kus Mail-In Ballot - Mail-In,President,,,Registration,0
Bergen,Ho-Ho-Kus Provisional - Provision,President,,,Registration,0
Bergen,Leonia 1 - Election Day,President,,,Registration,906
Bergen,Leonia 2 - Election Day,President,,,Registration,836
Bergen,Leonia 3 - Election Day,President,,,Registration,800
Bergen,Leonia 4 - Election Day,President,,,Registration,833
Bergen,Leonia 5 - Election Day,President,,,Registration,1228
Bergen,Leonia 6 - Election Day,President,,,Registration,767
Bergen,Leonia Mail-In Ballot - Mail-In Ballo,President,,,Registration,0
Bergen,Leonia Provisional - Provisional,President,,,Registration,0
Bergen,Little Ferry 1 - Election Day,President,,,Registration,855
Bergen,Little Ferry 2 - Election Day,President,,,Registration,636
Bergen,Little Ferry 3 - Election Day,President,,,Registration,1148
Bergen,Little Ferry 4 - Election Day,President,,,Registration,895
Bergen,Little Ferry 5 - Election Day,President,,,Registration,1286
Bergen,Little Ferry 6 - Election Day,President,,,Registration,868
Bergen,Little Ferry Mail-In Ballot - Mail-In,President,,,Registration,0
Bergen,Little Ferry Provisional - Provisiona,President,,,Registration,0
Bergen,Lodi 1 - Election Day,President,,,Registration,1436
Bergen,Lodi 2 - Election Day,President,,,Registration,1465
Bergen,Lodi 3 - Election Day,President,,,Registration,967
Bergen,Lodi 4 - Election Day,President,,,Registration,989
Bergen,Lodi 5 - Election Day,President,,,Registration,1034
Bergen,Lodi 6 - Election Day,President,,,Registration,892
Bergen,Lodi 7 - Election Day,President,,,Registration,638
Bergen,Lodi 8 - Election Day,President,,,Registration,1274
Bergen,Lodi 9 - Election Day,President,,,Registration,1030
Bergen,Lodi 10 - Election Day,President,,,Registration,1228
Bergen,Lodi 11 - Election Day,President,,,Registration,1242
Bergen,Lodi 12 - Election Day,President,,,Registration,1123
Bergen,Lodi Mail-In Ballot - Mail-In Ballot,President,,,Registration,0
Bergen,Lodi Provisional - Provisional,President,,,Registration,0
Bergen,Lyndhurst 1 - Election Day,President,,,Registration,774
Bergen,Lyndhurst 2 - Election Day,President,,,Registration,754
Bergen,Lyndhurst 3 - Election Day,President,,,Registration,1292
Bergen,Lyndhurst 4 - Election Day,President,,,Registration,891
Bergen,Lyndhurst 5 - Election Day,President,,,Registration,765
Bergen,Lyndhurst 6 - Election Day,President,,,Registration,1053
Bergen,Lyndhurst 7 - Election Day,President,,,Registration,842
Bergen,Lyndhurst 8 - Election Day,President,,,Registration,907
Bergen,Lyndhurst 9 - Election Day,President,,,Registration,770
Bergen,Lyndhurst 10 - Election Day,President,,,Registration,1033
Bergen,Lyndhurst 11 - Election Day,President,,,Registration,804
Bergen,Lyndhurst 12 - Election Day,President,,,Registration,731
Bergen,Lyndhurst 13 - Election Day,President,,,Registration,966
Bergen,Lyndhurst 14 - Election Day,President,,,Registration,787
Bergen,Lyndhurst 15 - Election Day,President,,,Registration,846
Bergen,Lyndhurst Mail-In Ballot - Mail-In B,President,,,Registration,0
Bergen,Lyndhurst Provisional - Provisiona,President,,,Registration,0
Bergen,Mahwah 1 - Election Day,President,,,Registration,1660
Bergen,Mahwah 2 - Election Day,President,,,Registration,1296
Bergen,Mahwah 3 - Election Day,President,,,Registration,1274
Bergen,Mahwah 4 - Election Day,President,,,Registration,1095
Bergen,Mahwah 5 - Election Day,President,,,Registration,971
Bergen,Mahwah 6 - Election Day,President,,,Registration,1222
Bergen,Mahwah 7 - Election Day,President,,,Registration,1602
Bergen,Mahwah 8 - Election Day,President,,,Registration,1506
Bergen,Mahwah 9 - Election Day,President,,,Registration,493
Bergen,Mahwah 10 - Election Day,President,,,Registration,1503
Bergen,Mahwah 11 - Election Day,President,,,Registration,1698
Bergen,Mahwah 12 - Election Day,President,,,Registration,764
Bergen,Mahwah 13 - Election Day,President,,,Registration,1178
Bergen,Mahwah 14 - Election Day,President,,,Registration,1146
Bergen,Mahwah Mail-In Ballot - Mail-In Ba,President,,,Registration,0
Bergen,Mahwah Provisional - Provisional,President,,,Registration,0
Bergen,Maywood 1 - Election Day,President,,,Registration,947
Bergen,Maywood 2 - Election Day,President,,,Registration,922
Bergen,Maywood 3 - Election Day,President,,,Registration,946
Bergen,Maywood 4 - Election Day,President,,,Registration,947
Bergen,Maywood 5 - Election Day,President,,,Registration,893
Bergen,Maywood 6 - Election Day,President,,,Registration,917
Bergen,Maywood 7 - Election Day,President,,,Registration,737
Bergen,Maywood Mail-In Ballot - Mail-In B,President,,,Registration,0
Bergen,Maywood Provisional - Provisiona,President,,,Registration,0
Bergen,Midland Park 1 - Election Day,President,,,Registration,1169
Bergen,Midland Park 2 - Election Day,President,,,Registration,774
Bergen,Midland Park 3 - Election Day,President,,,Registration,1172
Bergen,Midland Park 4 - Election Day,President,,,Registration,948
Bergen,Midland Park 5 - Election Day,President,,,Registration,1115
Bergen,Midland Park Mail-In Ballot - Mail-,President,,,Registration,0
Bergen,Midland Park Provisional - Provisio,President,,,Registration,0
Bergen,Montvale 1 - Election Day,President,,,Registration,763
Bergen,Montvale 2 - Election Day,President,,,Registration,1135
Bergen,Montvale 3 - Election Day,President,,,Registration,1998
Bergen,Montvale 4 - Election Day,President,,,Registration,1884
Bergen,Montvale Mail-In Ballot - Mail-In Ba,President,,,Registration,0
Bergen,Montvale Provisional - Provisional,President,,,Registration,0
Bergen,Moonachie 1 - Election Day,President,,,Registration,312
Bergen,Moonachie 2 - Election Day,President,,,Registration,917
Bergen,Moonachie 3 - Election Day,President,,,Registration,435
Bergen,Moonachie Mail-In Ballot - Mail-In,President,,,Registration,0
Bergen,Moonachie Provisional - Provision,President,,,Registration,0
Bergen,New Milford 1 - Election Day,President,,,Registration,1291
Bergen,New Milford 2 - Election Day,President,,,Registration,1234
Bergen,New Milford 3 - Election Day,President,,,Registration,1298
Bergen,New Milford 4 - Election Day,President,,,Registration,1395
Bergen,New Milford 5 - Election Day,President,,,Registration,1126
Bergen,New Milford 6 - Election Day,President,,,Registration,1018
Bergen,New Milford 7 - Election Day,President,,,Registration,866
Bergen,New Milford 8 - Election Day,President,,,Registration,1436
Bergen,New Milford 9 - Election Day,President,,,Registration,892
Bergen,New Milford Mail-In Ballot - Mail-In,President,,,Registration,0
Bergen,New Milford Provisional - Provision,President,,,Registration,0
